ReservationID,PassengerID,FlightNo,SourceAirport,DestinationAirport,BookingDate,TravelDate,SeatNo,Fare,PaymentMode
131,116,6E358,GOI,BOM,2024-12-28,2025-01-03,26F,10479,Wallet
132,680,6E208,PNQ,MAA,2022-04-25,2022-05-24,25F,7998,Wallet
133,423,6E616,CCU,GOI,2022-10-19,2022-10-25,28A,9239,UPI
134,209,6E305,BOM,COK,2022-06-11,2022-06-29,27F,9541,UPI
135,761,6E876,BLR,DEL,2024-09-04,2024-09-18,12B,3123,UPI
136,688,6E970,BLR,BOM,2023-11-22,2023-11-25,12F,4398,Net Banking
137,263,6E133,CCU,DEL,2022-02-18,2022-03-15,15F,10560,Credit Card
138,840,6E322,MAA,BLR,2024-06-09,2024-06-20,26B,9700,Credit Card
139,120,6E452,GOI,BLR,2022-06-18,2022-07-02,9D,10324,Net Banking
140,86,6E452,CCU,GOI,2024-09-15,2024-09-18,29A,3361,Net Banking
141,148,6E755,PNQ,AMD,2024-02-20,2024-03-20,27F,4138,Net Banking
142,294,6E635,BLR,COK,2024-09-20,2024-10-18,25A,2984,Wallet
143,748,6E478,BOM,GOI,2024-10-10,2024-10-14,30D,8781,UPI
144,41,6E389,DEL,AMD,2022-03-28,2022-04-19,30F,3553,Net Banking
145,962,6E730,DEL,PNQ,2024-06-15,2024-06-16,28B,4420,Credit Card
146,357,6E955,BOM,BLR,2023-03-22,2023-04-06,8B,10399,Credit Card
147,366,6E622,BLR,DEL,2022-11-22,2022-11-24,28E,7426,Debit Card
148,321,6E116,GOI,AMD,2022-06-12,2022-07-08,20A,5794,Net Banking
149,298,6E500,AMD,COK,2022-07-20,2022-08-03,12B,8728,Wallet
150,377,6E989,DEL,BOM,2024-07-30,2024-08-14,9C,11634,UPI
151,191,6E546,GOI,CCU,2022-10-23,2022-11-17,30B,9226,Net Banking
152,624,6E693,DEL,HYD,2024-09-24,2024-10-13,24F,10132,UPI
153,670,6E759,DEL,MAA,2022-07-03,2022-07-25,25E,7520,Wallet
154,823,6E832,BLR,PNQ,2022-08-15,2022-09-14,24F,3844,UPI
155,590,6E910,DEL,BOM,2023-03-11,2023-03-15,10E,8677,Credit Card
156,483,6E506,AMD,PNQ,2024-01-17,2024-02-10,10E,2843,UPI
157,950,6E415,COK,DEL,2023-06-23,2023-07-06,8F,8969,Credit Card
158,548,6E539,HYD,BOM,2023-05-29,2023-06-09,15B,7748,Wallet
159,554,6E426,PNQ,BLR,2023-09-23,2023-10-22,6E,3041,Debit Card
160,420,6E122,BLR,HYD,2023-01-16,2023-02-11,3F,9704,Credit Card
161,828,6E196,GOI,BOM,2023-02-24,2023-03-12,30E,7626,Debit Card
162,767,6E402,COK,PNQ,2024-01-19,2024-02-09,25C,10531,Net Banking
163,916,6E484,DEL,BLR,2022-03-26,2022-04-05,2D,8324,Credit Card
164,668,6E552,PNQ,HYD,2024-04-02,2024-04-09,18B,11407,Credit Card
165,806,6E762,MAA,COK,2023-12-02,2023-12-04,6E,9871,UPI
166,294,6E576,CCU,HYD,2022-11-11,2022-11-23,24C,7934,Net Banking
167,915,6E909,BLR,HYD,2024-05-29,2024-06-01,12E,9001,Credit Card
168,754,6E833,MAA,BOM,2023-09-17,2023-10-05,1A,4383,UPI
169,723,6E354,AMD,PNQ,2022-05-31,2022-06-07,26F,8388,Wallet
170,647,6E607,DEL,GOI,2024-01-26,2024-02-05,8C,4658,Net Banking
171,291,6E723,COK,GOI,2022-12-13,2023-01-11,26A,5837,Net Banking
172,331,6E405,BOM,CCU,2022-11-22,2022-12-04,16B,6069,Net Banking
173,474,6E441,AMD,CCU,2023-06-09,2023-07-05,25D,5362,Credit Card
174,920,6E259,CCU,COK,2023-11-15,2023-12-04,17D,7152,UPI
175,285,6E515,PNQ,GOI,2022-10-15,2022-11-14,24E,6800,UPI
176,230,6E729,CCU,PNQ,2024-08-21,2024-09-04,1F,7844,UPI
177,733,6E886,BLR,PNQ,2022-07-18,2022-07-28,23D,4464,Wallet
178,538,6E979,COK,BLR,2023-08-24,2023-09-23,14C,3370,Wallet
179,634,6E237,HYD,PNQ,2024-10-10,2024-11-05,23B,7822,Debit Card
180,608,6E583,COK,DEL,2023-04-12,2023-04-27,13C,11482,Debit Card
181,407,6E557,DEL,COK,2022-10-19,2022-11-14,28A,4740,UPI
182,353,6E291,GOI,COK,2024-06-16,2024-06-23,3F,6670,Debit Card
183,568,6E229,GOI,DEL,2023-06-02,2023-06-04,9C,10264,Credit Card
184,894,6E613,MAA,COK,2022-02-23,2022-03-08,16D,6463,Wallet
185,604,6E167,CCU,BLR,2023-10-23,2023-11-09,14F,5031,Wallet
186,760,6E830,MAA,PNQ,2023-01-24,2023-02-09,1E,7226,UPI
187,445,6E980,DEL,GOI,2023-04-12,2023-04-19,23A,10593,Credit Card
188,744,6E639,AMD,BOM,2024-05-07,2024-05-20,21B,2794,UPI
189,307,6E122,MAA,PNQ,2024-10-27,2024-10-30,13D,3137,Wallet
190,907,6E339,BLR,BOM,2024-06-23,2024-07-04,7E,8727,UPI
191,903,6E953,BOM,BLR,2023-03-22,2023-04-06,9E,9759,UPI
192,703,6E598,CCU,HYD,2022-06-24,2022-07-15,8E,5221,Debit Card
193,326,6E440,CCU,DEL,2022-10-20,2022-11-01,20D,11467,Wallet
194,876,6E697,BOM,HYD,2023-10-22,2023-11-13,19A,9823,Wallet
195,793,6E941,BOM,BLR,2023-09-22,2023-09-24,21A,9852,Net Banking
196,729,6E152,HYD,GOI,2023-05-09,2023-05-30,23E,11564,Debit Card
197,355,6E341,CCU,HYD,2024-04-10,2024-05-01,7A,8674,Debit Card
198,447,6E834,AMD,PNQ,2024-09-01,2024-09-15,2F,10454,Net Banking
199,497,6E902,PNQ,MAA,2023-02-07,2023-03-01,19B,6342,Wallet
200,788,6E993,COK,HYD,2024-09-07,2024-09-28,21F,9162,Wallet
201,896,6E351,BOM,AMD,2022-12-10,2022-12-18,30D,5436,Net Banking
202,109,6E838,DEL,COK,2022-06-01,2022-06-04,18D,3972,Debit Card
203,328,6E276,MAA,BLR,2024-09-06,2024-10-05,26B,5303,Credit Card
204,304,6E319,BLR,HYD,2024-12-25,2025-01-23,3C,11264,Net Banking
205,217,6E930,BLR,MAA,2024-09-22,2024-10-15,10D,2986,Net Banking
206,614,6E826,GOI,PNQ,2022-11-27,2022-12-22,21A,6235,Net Banking
207,710,6E953,GOI,COK,2023-03-15,2023-03-31,13E,3222,Wallet
208,325,6E440,PNQ,DEL,2023-12-12,2024-01-06,26F,10977,Debit Card
209,368,6E667,BLR,COK,2022-05-02,2022-05-23,15E,10504,Net Banking
210,492,6E103,CCU,MAA,2023-11-07,2023-11-26,10B,4425,Wallet
211,940,6E130,GOI,BLR,2024-01-17,2024-02-11,6B,3536,Wallet
212,960,6E735,AMD,PNQ,2022-04-14,2022-04-28,4B,11975,UPI
213,588,6E532,CCU,PNQ,2022-11-05,2022-11-27,12B,11882,Debit Card
214,892,6E249,DEL,MAA,2024-04-22,2024-05-09,6A,4529,Net Banking
215,921,6E958,CCU,PNQ,2022-11-30,2022-12-11,3E,4214,Net Banking
216,661,6E802,GOI,PNQ,2022-08-30,2022-09-29,22F,7622,UPI
217,159,6E971,PNQ,GOI,2022-06-10,2022-06-19,28A,10688,Wallet
218,653,6E573,CCU,COK,2023-03-10,2023-03-24,28C,2925,Credit Card
219,920,6E451,BOM,COK,2022-09-23,2022-09-29,8E,7761,Wallet
220,137,6E428,BLR,AMD,2023-09-22,2023-10-19,1E,9260,Wallet
221,638,6E918,GOI,COK,2022-11-20,2022-11-22,7E,7868,Credit Card
222,909,6E781,DEL,PNQ,2023-10-09,2023-10-11,1D,11981,Wallet
223,423,6E214,DEL,AMD,2022-02-12,2022-02-28,4B,9275,UPI
224,51,6E804,BOM,DEL,2023-12-16,2023-12-30,3B,4530,Debit Card
225,517,6E940,BOM,COK,2022-06-17,2022-07-16,8B,5521,Net Banking
226,270,6E621,COK,HYD,2022-05-09,2022-05-19,6F,10770,Debit Card
227,690,6E754,BOM,BLR,2024-07-13,2024-07-22,5B,5958,Net Banking
228,65,6E620,GOI,PNQ,2023-10-29,2023-11-06,8C,8927,UPI
229,677,6E128,PNQ,GOI,2023-04-09,2023-04-11,4D,3345,Debit Card
230,767,6E430,MAA,CCU,2024-11-15,2024-12-15,16D,5905,Credit Card
231,899,6E954,GOI,CCU,2024-03-12,2024-03-15,5B,9371,UPI
232,213,6E105,BOM,DEL,2023-04-25,2023-05-06,19E,11312,Net Banking
233,533,6E178,GOI,BLR,2023-03-08,2023-03-15,7B,5575,Wallet
234,622,6E259,DEL,PNQ,2024-01-19,2024-02-03,9C,7058,Net Banking
235,869,6E683,DEL,MAA,2022-06-25,2022-07-21,23C,9960,Wallet
236,828,6E311,DEL,BLR,2023-05-02,2023-06-01,25D,6606,Debit Card
237,343,6E774,AMD,BLR,2022-05-14,2022-06-01,21B,8442,Wallet
238,627,6E180,MAA,DEL,2023-10-02,2023-10-04,21F,2958,UPI
239,240,6E592,BOM,PNQ,2023-06-01,2023-06-14,2F,7636,Wallet
240,74,6E911,AMD,MAA,2023-07-28,2023-08-19,26E,4746,Net Banking
241,260,6E121,COK,HYD,2024-05-27,2024-06-25,30A,9950,Wallet
242,477,6E196,BLR,HYD,2022-01-05,2022-01-27,13B,5162,Debit Card
243,122,6E158,CCU,PNQ,2024-08-04,2024-08-28,16B,10837,Credit Card
244,340,6E985,BOM,AMD,2022-04-20,2022-04-29,17E,6281,Credit Card
245,910,6E981,BOM,AMD,2023-07-08,2023-07-16,27C,4245,UPI
246,234,6E459,AMD,PNQ,2022-08-30,2022-09-01,20E,5778,Net Banking
247,868,6E535,DEL,BLR,2024-03-31,2024-04-12,12A,10458,Debit Card
248,802,6E748,BOM,MAA,2024-04-23,2024-05-18,25B,4356,Net Banking
249,648,6E247,MAA,BOM,2022-10-16,2022-11-12,16F,8403,Debit Card
250,191,6E991,AMD,BOM,2024-01-30,2024-02-09,30E,11833,Net Banking
251,337,6E502,DEL,AMD,2024-12-04,2024-12-24,30D,3906,Wallet
252,859,6E663,GOI,DEL,2023-08-28,2023-09-07,26F,8276,Credit Card
253,752,6E932,BLR,BOM,2023-09-22,2023-09-30,8B,10136,Net Banking
254,605,6E439,CCU,GOI,2024-02-11,2024-03-07,28D,6996,Credit Card
255,553,6E809,CCU,PNQ,2024-10-29,2024-11-17,3E,9552,Wallet
256,699,6E874,AMD,BOM,2023-07-04,2023-07-10,13F,2959,Debit Card
257,40,6E876,PNQ,HYD,2024-08-25,2024-09-05,20B,7731,UPI
258,13,6E550,CCU,BOM,2024-01-24,2024-01-26,24A,11154,Credit Card
259,756,6E839,BLR,AMD,2024-03-18,2024-04-12,8E,9098,UPI
260,451,6E291,GOI,CCU,2022-10-19,2022-11-17,27D,7661,Wallet
261,923,6E216,COK,BOM,2024-06-27,2024-07-11,11B,4901,Debit Card
262,394,6E948,MAA,COK,2024-01-30,2024-02-12,6D,7168,Debit Card
263,81,6E593,HYD,PNQ,2023-06-06,2023-06-30,26F,9075,UPI
264,698,6E456,DEL,AMD,2024-04-19,2024-05-02,8E,11416,Net Banking
265,646,6E635,GOI,CCU,2023-08-22,2023-08-27,30B,8207,UPI
266,195,6E376,PNQ,BLR,2024-04-23,2024-05-12,14B,7685,Net Banking
267,975,6E483,GOI,COK,2023-04-17,2023-04-26,10C,11247,Debit Card
268,594,6E775,BLR,GOI,2023-10-01,2023-10-11,27E,7865,UPI
269,914,6E216,BLR,GOI,2023-02-20,2023-03-13,28A,6493,Wallet
270,119,6E979,GOI,DEL,2022-03-02,2022-03-24,19A,3281,Debit Card
271,383,6E641,BLR,COK,2022-12-30,2023-01-25,22A,11139,Debit Card
272,536,6E560,DEL,GOI,2022-06-09,2022-07-05,15D,7698,Credit Card
273,683,6E180,HYD,MAA,2023-12-07,2023-12-15,22E,5603,Net Banking
274,19,6E341,DEL,HYD,2022-06-23,2022-06-29,27F,3717,Debit Card
275,252,6E799,BOM,CCU,2023-05-19,2023-06-04,30F,5698,Wallet
276,970,6E528,BLR,AMD,2023-12-31,2024-01-11,28A,6987,Net Banking
277,359,6E784,BOM,CCU,2024-10-05,2024-10-14,12D,3574,Credit Card
278,7,6E863,AMD,DEL,2023-06-06,2023-06-28,26D,11367,Wallet
279,86,6E672,MAA,PNQ,2024-03-17,2024-04-02,9B,6913,Wallet
280,613,6E374,PNQ,COK,2024-01-26,2024-02-03,3C,10918,UPI
281,441,6E442,GOI,COK,2023-05-30,2023-06-15,4D,11897,Wallet
282,843,6E583,AMD,DEL,2023-03-12,2023-03-17,10A,3890,Wallet
283,306,6E204,BOM,CCU,2023-10-18,2023-10-24,27E,10774,Wallet
284,657,6E260,CCU,BOM,2023-12-30,2024-01-10,24A,5161,Wallet
285,822,6E876,PNQ,GOI,2023-07-20,2023-08-04,19A,10365,Debit Card
286,731,6E587,AMD,GOI,2023-10-27,2023-11-12,12B,10758,Credit Card
287,810,6E125,HYD,DEL,2024-01-30,2024-02-15,22B,8092,Debit Card
288,69,6E736,BLR,GOI,2024-04-01,2024-04-02,6A,8956,Net Banking
289,557,6E100,DEL,CCU,2023-06-04,2023-06-15,24D,9978,Credit Card
290,190,6E137,BOM,MAA,2024-08-06,2024-08-11,3D,11785,Net Banking
291,29,6E273,BOM,AMD,2022-07-13,2022-07-17,23D,8036,Net Banking
292,101,6E480,MAA,COK,2022-05-31,2022-06-25,10A,4451,Credit Card
293,780,6E639,CCU,AMD,2024-06-21,2024-07-20,26B,9327,Net Banking
294,649,6E104,AMD,DEL,2022-01-26,2022-02-16,2E,10011,Credit Card
295,155,6E521,MAA,AMD,2023-07-17,2023-08-11,2D,8362,Debit Card
296,175,6E611,DEL,PNQ,2024-11-13,2024-11-21,22A,5952,Debit Card
297,839,6E169,COK,CCU,2024-07-18,2024-07-21,4F,4674,Wallet
298,899,6E695,AMD,GOI,2024-09-04,2024-09-22,5C,8364,Wallet
299,308,6E731,HYD,DEL,2024-02-21,2024-03-08,15C,11525,Debit Card
300,949,6E612,COK,BOM,2024-05-03,2024-05-04,2C,10546,UPI
301,707,6E393,CCU,HYD,2024-05-05,2024-05-18,19F,10411,Wallet
302,310,6E999,PNQ,DEL,2024-05-16,2024-05-19,2A,10646,Debit Card
303,139,6E893,BLR,DEL,2023-08-01,2023-08-25,30A,10974,Wallet
304,646,6E388,BLR,HYD,2023-01-25,2023-01-29,27C,7916,Credit Card
305,556,6E831,COK,DEL,2022-06-17,2022-06-22,18B,2511,Net Banking
306,478,6E661,MAA,PNQ,2022-06-08,2022-06-12,27F,10935,Credit Card
307,489,6E832,CCU,DEL,2024-03-16,2024-04-14,16F,10898,Debit Card
308,699,6E833,PNQ,MAA,2022-09-08,2022-10-01,27D,5089,Debit Card
309,745,6E726,HYD,GOI,2022-06-06,2022-06-12,18C,3614,UPI
310,634,6E424,BOM,GOI,2024-04-06,2024-05-04,11D,3841,Net Banking
311,751,6E417,MAA,BOM,2024-12-27,2025-01-13,4F,10642,Net Banking
312,725,6E191,PNQ,BOM,2022-03-07,2022-03-30,18D,8303,Credit Card
313,603,6E495,DEL,HYD,2024-01-18,2024-02-15,21B,9740,Debit Card
314,888,6E893,HYD,PNQ,2024-06-08,2024-07-05,1D,11247,Credit Card
315,920,6E634,HYD,BLR,2022-08-29,2022-08-31,17D,10013,Debit Card
316,839,6E329,GOI,PNQ,2023-06-03,2023-06-28,20B,3468,Credit Card
317,973,6E151,BLR,CCU,2022-03-14,2022-03-30,2B,7815,Wallet
318,520,6E638,PNQ,CCU,2022-09-21,2022-09-26,18A,5894,Wallet
319,879,6E873,AMD,CCU,2023-05-17,2023-06-13,5E,4478,Debit Card
320,700,6E670,BOM,PNQ,2023-11-16,2023-11-20,15E,11314,Wallet
321,295,6E578,HYD,DEL,2023-04-12,2023-05-07,19D,10192,UPI
322,94,6E821,PNQ,COK,2022-07-01,2022-07-06,27C,5506,Net Banking
323,576,6E741,DEL,MAA,2024-03-09,2024-03-20,12E,3307,Credit Card
324,89,6E952,BOM,CCU,2023-01-07,2023-02-02,30F,10404,Net Banking
325,395,6E620,BLR,CCU,2022-02-01,2022-02-21,6E,7950,Credit Card
326,920,6E396,CCU,AMD,2023-11-14,2023-11-16,8B,5508,UPI
327,239,6E146,HYD,DEL,2022-12-25,2023-01-10,21E,8091,UPI
328,487,6E378,GOI,BLR,2024-11-26,2024-12-18,8B,11670,Wallet
329,977,6E795,COK,BOM,2022-03-15,2022-03-31,19C,9480,UPI
330,490,6E701,CCU,AMD,2024-01-03,2024-01-25,13C,3287,Wallet
331,186,6E761,AMD,CCU,2024-07-01,2024-07-15,20D,5610,Credit Card
332,707,6E964,HYD,BLR,2024-07-24,2024-08-19,21E,5419,Debit Card
333,967,6E590,BOM,AMD,2023-03-01,2023-03-20,25E,11103,Debit Card
334,479,6E593,CCU,BOM,2023-06-13,2023-07-02,19A,10475,Wallet
335,509,6E872,GOI,COK,2023-07-20,2023-08-18,25D,10484,Net Banking
